spotify.id,allmusic.id
2237,17408
2237,14294
2237,14391
2237,17417
2237,17324
2237,25623
2237,17381
2177,13770
2177,31719
2177,7430
2177,25681
2177,25697
2177,13747
2177,25646
2177,25675
2177,23903
2177,3332
24200,5072
24195,22187
24195,13674
24195,22179
24195,22314
24210,18962
24210,19055
24210,18980
24210,19038
24210,19007
24210,26604
24210,18925
24210,18897
24210,18862
24210,18961
2193,33363
2203,25078
2203,7874
2203,33299
2203,30819
2203,33992
2203,7906
2203,35398
2203,96
2203,29850
2203,25044
2203,1250
2203,97
2203,23930
2205,4930
2205,17231
2205,14525
2205,17179
2205,446
2207,20335
2207,4964
2207,14379
2208,11250
2208,35322
2208,35333
21197,972
2209,18788
2209,17978
2209,4969
2209,14493
2209,14384
2213,2922
2213,14146
2213,6843
2222,2918
2222,6836
2222,14143
24230,18875
2223,7531
2224,33853
2224,24132
2224,13088
2224,13100
2224,34429
2224,6895
2224,9311
18329,31256
18329,30836
2245,6844
2245,14145
2245,17157
13883,19625
2254,7475
24293,19022
24293,3907
24293,3891
24293,18879
24293,3884
24293,19010
24293,19024
2329,2652
2329,14434
2329,5060
2329,17057
2340,535
13974,535
2316,30897
24292,535
8966,2992
8966,14412
2277,14409
2277,3068
2281,22209
2281,5473
2281,22276
2285,17406
2285,14337
2285,5724
2285,1671
2285,17327
2285,17391
2285,3932
2285,17374
2285,28828
2285,14291
24294,12377
24294,12381
2313,4855
2313,14413
2313,17449
2313,17694
2313,462
2313,14452
2305,7969
2306,16649
2307,20469
2312,16519
2312,14312
2312,17686
2312,5089
2320,31177
2320,6339
2320,10905
2320,31458
2320,31179
24305,5543
2326,1618
2326,31873
2328,14530
2328,439
2328,27523
2328,17992
8947,14530
8947,439
8947,27523
8947,17992
2330,14341
2330,5725
2330,2916
2330,14140
2330,17456
2344,17695
2344,22467
2344,22913
2362,13063
2367,3476
2367,15131
2367,17143
2367,17215
2367,14260
2369,17187
2369,7073
2369,17198
2369,14256
2369,17230
2455,27520
18430,19540
24354,17323
24354,17370
24354,17311
24354,32601
24354,14333
24354,17402
24354,17293
24354,14307
24354,17339
24354,17363
24354,17286
24354,3937
24354,14286
2375,33295
2375,94
2375,29847
14067,4144
2391,20306
2395,29102
24358,29885
24358,29924
24358,25542
24372,14301
24372,3010
24372,17211
14004,8026
2416,17320
2416,17303
2416,17289
2416,14308
2416,17372
2416,17294
2416,14280
2416,17356
2416,17407
2416,3930
9107,24393
2423,14917
2423,19394
2423,19516
2423,19528
2439,5497
2439,5498
2439,22982
2439,22901
2439,23017
2439,5513
2439,22972
2443,31574
2447,20482
2447,3069
2451,12393
24338,13168
2471,3170
2481,17523
2481,13469
2483,3064
2484,4276
2484,4260
24457,32520
14142,14069
14142,3241
14142,14049
14142,3152
9155,14106
2559,22127
2559,6455
2559,1887
2559,6410
2559,5868
2559,22136
2559,22131
2559,22207
2559,22096
2559,6479
2559,6520
9205,7755
2509,14486
2509,16574
2509,17970
2509,27775
2532,17129
21319,27173
24444,32606
24444,11848
2492,27173
24453,8070
24453,8110
2497,14255
2497,7962
2501,14089
2501,14156
2501,14045
2501,29227
24396,3223
24396,14070
24396,3154
24396,14046
2566,22716
2566,11450
2566,10021
2566,22678
