node1,label,node2
Mike Nichols,in,cluster_21623
https://www.allmusic.com/song/i-love-it-loud-mt0030186686,in,cluster_22633
https://www.allmusic.com/style/arena-rock-ma0000012329,in,cluster_40220
https://www.allmusic.com/artist/brown-bannister-mn0000525035,in,cluster_19593
Brown Bannister,in,cluster_40285
https://www.allmusic.com/artist/zachary-carper-mn0003244283,in,cluster_46504
2010s,in,cluster_20896
https://www.allmusic.com/artist/ulis-gaines-mn0002303449,in,cluster_46504
https://www.allmusic.com/song/cry-tough-mt0002178003,in,cluster_12661
https://www.allmusic.com/artist/poison-mn0000355616,in,cluster_25413
https://www.allmusic.com/song/black-skinhead-mt0047528404,in,cluster_9783
0.0009568282699079,in,cluster_9783
https://www.allmusic.com/artist/scott-weiland-mn0000836226,in,cluster_46504
Scott Richard Kline,in,cluster_40285
https://www.allmusic.com/song/the-heat-of-heat-mt0000481856,in,cluster_29369
0.8306796913057969,in,cluster_40644
https://www.allmusic.com/artist/matt-cameron-mn0000389487,in,cluster_7277
"The most prolific Seattle grunge drummer, a major part of Skin Yard, Soundgarden, Temple of the Dog, and Pearl Jam.",in,cluster_9783
https://www.allmusic.com/artist/wayne-proctor-mn0001390952,in,cluster_20117
"Guitarist/composer Wayne Proctor is one of the enduring underground legends of 1960s American rock & roll. Neither he nor the most famous of the bands that he was in, We the People, ever achieved more…",in,cluster_21623
https://www.allmusic.com/artist/danny-thompson-mn0001233067,in,cluster_20117
"April 4, 1939, Teignmouth, Devon, England",in,cluster_21623
https://www.allmusic.com/artist/geoff-dugmore-mn0000096092,in,cluster_20117
Geoff Dugmore,in,cluster_21623
https://www.allmusic.com/artist/melody-gardot-mn0000546205,in,cluster_46504
"Acclaimed vocalist, known for her dusky mix of jazz, Brazilian traditions, folk, and artful pop.",in,cluster_40285
https://www.allmusic.com/song/j%C3%B6ga-mt0005704220,in,cluster_9783
https://www.allmusic.com/style/new-zealand-ma0000002751,in,cluster_27193
https://www.allmusic.com/genre/international-ma0000002660,in,cluster_7468
https://www.allmusic.com/style/melanesian-ma0000002682,in,cluster_27193
https://www.allmusic.com/artist/shayley-bourget-mn0002416159,in,cluster_20117
Shayley Bourget,in,cluster_21623
https://www.allmusic.com/song/fifty-fifty-mt0006932039,in,cluster_22633
0.2905881078739305,in,cluster_40220
https://www.allmusic.com/artist/carla-torgerson-mn0000142049,in,cluster_46504
https://www.allmusic.com/artist/the-walkabouts-mn0000924112,in,cluster_40285
https://www.allmusic.com/song/baba-oriley-confidentialmx-remix--mt0056900423,in,cluster_29369
0.6446335461127515,in,cluster_40220
https://www.allmusic.com/song/tomorrow-never-knows-mt0010261999,in,cluster_29369
8.333341700142269e-05,in,cluster_40644
https://www.allmusic.com/artist/jeremy-spencer-mn0000322666,in,cluster_20117
"July 4, 1948, West Hartlepool, England",in,cluster_21623
https://www.allmusic.com/song/the-drowners-mt0039710907,in,cluster_12661
https://www.allmusic.com/artist/luther-mano-hanes-mn0000103625,in,cluster_19593
https://www.allmusic.com/song/lifes-a-gas-mt0032944574,in,cluster_29369
1971,in,cluster_40220
https://www.allmusic.com/song/passin-thru-mt0054452451,in,cluster_22633
0.8039640420231778,in,cluster_40220
https://www.allmusic.com/song/joan-of-arc-mt0012257404,in,cluster_29369
Joan of Arc,in,cluster_40644
https://www.allmusic.com/artist/gordon-langford-mn0000010871,in,cluster_46504
"Of the many twentieth- and now twenty-first century musicians who have hovered on the border between so-called light music and serious music, Englishman Gordon Langford must rank among the most successful.…",in,cluster_40285
https://www.allmusic.com/style/vaudeville-blues-ma0000011921,in,cluster_27193
https://www.allmusic.com/genre/blues-ma0000002467,in,cluster_45444
https://www.allmusic.com/artist/barry-westhead-mn0000568221,in,cluster_20117
Barry Westhead,in,cluster_21623
https://www.allmusic.com/song/never-let-me-go-mt0054258324,in,cluster_29369
0.5078070917621721,in,cluster_40644
https://www.allmusic.com/song/cowboys-from-hell-mt0008847286,in,cluster_22633
0.4260098928277001,in,cluster_21623
https://www.allmusic.com/artist/jimmie-rodgers-mn0000343852,in,cluster_20117
Jimmie Rodgers,in,cluster_21623
https://www.allmusic.com/artist/papa-emeritus-mn0003261730,in,cluster_46504
Papa Emeritus,in,cluster_40285
https://www.allmusic.com/artist/abigail-kubheka-mn0002865529,in,cluster_19593
